text_id,prompt_id,genre,theme,model_family,model_name,provider,clean_word_count,clean_length_status
GPT_gpt-4o-mini_DES_035,DES_035,Descriptive,career,GPT,gpt-4o-mini,OpenAI,200,valid
GPT_gpt-4o-mini_DES_036,DES_036,Descriptive,career,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_DES_037,DES_037,Descriptive,career,GPT,gpt-4o-mini,OpenAI,203,valid
GPT_gpt-4o-mini_DES_038,DES_038,Descriptive,career,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_DES_039,DES_039,Descriptive,career,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DES_040,DES_040,Descriptive,career,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_DES_041,DES_041,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_DES_042,DES_042,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DES_043,DES_043,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DES_044,DES_044,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_DES_045,DES_045,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,200,valid
GPT_gpt-4o-mini_DES_046,DES_046,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DES_047,DES_047,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,200,valid
GPT_gpt-4o-mini_DES_048,DES_048,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,198,valid
GPT_gpt-4o-mini_DES_049,DES_049,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_DES_050,DES_050,Descriptive,personal,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_ARG_001,ARG_001,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,218,valid
GPT_gpt-4o-mini_ARG_002,ARG_002,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,213,valid
GPT_gpt-4o-mini_ARG_003,ARG_003,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_004,ARG_004,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,202,valid
GPT_gpt-4o-mini_ARG_005,ARG_005,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_006,ARG_006,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_ARG_007,ARG_007,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_ARG_008,ARG_008,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_ARG_009,ARG_009,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_ARG_010,ARG_010,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,218,valid
GPT_gpt-4o-mini_ARG_011,ARG_011,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_ARG_012,ARG_012,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,201,valid
GPT_gpt-4o-mini_ARG_013,ARG_013,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_ARG_014,ARG_014,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_ARG_015,ARG_015,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_ARG_016,ARG_016,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_017,ARG_017,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_ARG_018,ARG_018,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,215,valid
GPT_gpt-4o-mini_ARG_019,ARG_019,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_ARG_020,ARG_020,Argumentative,academic,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_ARG_021,ARG_021,Argumentative,business,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_ARG_022,ARG_022,Argumentative,business,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_ARG_023,ARG_023,Argumentative,business,GPT,gpt-4o-mini,OpenAI,203,valid
GPT_gpt-4o-mini_ARG_024,ARG_024,Argumentative,business,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_ARG_025,ARG_025,Argumentative,business,GPT,gpt-4o-mini,OpenAI,213,valid
GPT_gpt-4o-mini_ARG_026,ARG_026,Argumentative,business,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_027,ARG_027,Argumentative,business,GPT,gpt-4o-mini,OpenAI,213,valid
GPT_gpt-4o-mini_ARG_028,ARG_028,Argumentative,business,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_029,ARG_029,Argumentative,business,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_ARG_030,ARG_030,Argumentative,business,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_ARG_031,ARG_031,Argumentative,career,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_ARG_032,ARG_032,Argumentative,career,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_033,ARG_033,Argumentative,career,GPT,gpt-4o-mini,OpenAI,215,valid
GPT_gpt-4o-mini_ARG_034,ARG_034,Argumentative,career,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_ARG_035,ARG_035,Argumentative,career,GPT,gpt-4o-mini,OpenAI,205,valid
GPT_gpt-4o-mini_ARG_036,ARG_036,Argumentative,career,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_ARG_037,ARG_037,Argumentative,career,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_ARG_038,ARG_038,Argumentative,career,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_ARG_039,ARG_039,Argumentative,career,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_ARG_040,ARG_040,Argumentative,career,GPT,gpt-4o-mini,OpenAI,203,valid
GPT_gpt-4o-mini_ARG_041,ARG_041,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_ARG_042,ARG_042,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_043,ARG_043,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_ARG_044,ARG_044,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,197,valid
GPT_gpt-4o-mini_ARG_045,ARG_045,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,217,valid
GPT_gpt-4o-mini_ARG_046,ARG_046,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_ARG_047,ARG_047,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,207,valid
GPT_gpt-4o-mini_ARG_048,ARG_048,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_ARG_049,ARG_049,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_ARG_050,ARG_050,Argumentative,personal,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_DIA_001,DIA_001,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_DIA_002,DIA_002,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_DIA_003,DIA_003,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_DIA_004,DIA_004,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DIA_005,DIA_005,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_DIA_006,DIA_006,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,210,valid
GPT_gpt-4o-mini_DIA_007,DIA_007,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_008,DIA_008,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DIA_009,DIA_009,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_010,DIA_010,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_DIA_011,DIA_011,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,213,valid
GPT_gpt-4o-mini_DIA_012,DIA_012,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_DIA_013,DIA_013,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DIA_014,DIA_014,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,202,valid
GPT_gpt-4o-mini_DIA_015,DIA_015,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DIA_016,DIA_016,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,215,valid
GPT_gpt-4o-mini_DIA_017,DIA_017,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,211,valid
GPT_gpt-4o-mini_DIA_018,DIA_018,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,213,valid
GPT_gpt-4o-mini_DIA_019,DIA_019,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_DIA_020,DIA_020,Dialogue,academic,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_021,DIA_021,Dialogue,business,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_022,DIA_022,Dialogue,business,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_DIA_023,DIA_023,Dialogue,business,GPT,gpt-4o-mini,OpenAI,218,valid
GPT_gpt-4o-mini_DIA_024,DIA_024,Dialogue,business,GPT,gpt-4o-mini,OpenAI,204,valid
GPT_gpt-4o-mini_DIA_025,DIA_025,Dialogue,business,GPT,gpt-4o-mini,OpenAI,210,valid
GPT_gpt-4o-mini_DIA_026,DIA_026,Dialogue,business,GPT,gpt-4o-mini,OpenAI,215,valid
GPT_gpt-4o-mini_DIA_027,DIA_027,Dialogue,business,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DIA_028,DIA_028,Dialogue,business,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_029,DIA_029,Dialogue,business,GPT,gpt-4o-mini,OpenAI,217,valid
GPT_gpt-4o-mini_DIA_030,DIA_030,Dialogue,business,GPT,gpt-4o-mini,OpenAI,218,valid
GPT_gpt-4o-mini_DIA_031,DIA_031,Dialogue,career,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_DIA_032,DIA_032,Dialogue,career,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_DIA_033,DIA_033,Dialogue,career,GPT,gpt-4o-mini,OpenAI,208,valid
GPT_gpt-4o-mini_DIA_034,DIA_034,Dialogue,career,GPT,gpt-4o-mini,OpenAI,191,valid
GPT_gpt-4o-mini_DIA_035,DIA_035,Dialogue,career,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_DIA_036,DIA_036,Dialogue,career,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DIA_037,DIA_037,Dialogue,career,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_038,DIA_038,Dialogue,career,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_DIA_039,DIA_039,Dialogue,career,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_040,DIA_040,Dialogue,career,GPT,gpt-4o-mini,OpenAI,216,valid
GPT_gpt-4o-mini_DIA_041,DIA_041,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,215,valid
GPT_gpt-4o-mini_DIA_042,DIA_042,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,217,valid
GPT_gpt-4o-mini_DIA_043,DIA_043,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,213,valid
GPT_gpt-4o-mini_DIA_044,DIA_044,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,220,valid
GPT_gpt-4o-mini_DIA_045,DIA_045,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,212,valid
GPT_gpt-4o-mini_DIA_046,DIA_046,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,209,valid
GPT_gpt-4o-mini_DIA_047,DIA_047,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,215,valid
GPT_gpt-4o-mini_DIA_048,DIA_048,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,214,valid
GPT_gpt-4o-mini_DIA_049,DIA_049,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,206,valid
GPT_gpt-4o-mini_DIA_050,DIA_050,Dialogue,personal,GPT,gpt-4o-mini,OpenAI,208,valid
Claude_claude-haiku-4-5-20251001_NAR_001,NAR_001,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,203,valid
Claude_claude-haiku-4-5-20251001_NAR_002,NAR_002,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,220,valid
Claude_claude-haiku-4-5-20251001_NAR_003,NAR_003,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,205,valid
Claude_claude-haiku-4-5-20251001_NAR_004,NAR_004,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,210,valid
Claude_claude-haiku-4-5-20251001_NAR_005,NAR_005,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,213,valid
Claude_claude-haiku-4-5-20251001_NAR_006,NAR_006,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,215,valid
Claude_claude-haiku-4-5-20251001_NAR_007,NAR_007,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,212,valid
Claude_claude-haiku-4-5-20251001_NAR_008,NAR_008,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,211,valid
Claude_claude-haiku-4-5-20251001_NAR_009,NAR_009,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,208,valid
Claude_claude-haiku-4-5-20251001_NAR_010,NAR_010,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,210,valid
Claude_claude-haiku-4-5-20251001_NAR_011,NAR_011,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,204,valid
Claude_claude-haiku-4-5-20251001_NAR_012,NAR_012,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,213,valid
Claude_claude-haiku-4-5-20251001_NAR_013,NAR_013,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,214,valid
Claude_claude-haiku-4-5-20251001_NAR_014,NAR_014,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,220,valid
Claude_claude-haiku-4-5-20251001_NAR_015,NAR_015,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,214,valid
Claude_claude-haiku-4-5-20251001_NAR_016,NAR_016,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,219,valid
Claude_claude-haiku-4-5-20251001_NAR_017,NAR_017,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,219,valid
Claude_claude-haiku-4-5-20251001_NAR_018,NAR_018,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,220,valid
Claude_claude-haiku-4-5-20251001_NAR_019,NAR_019,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,210,valid
Claude_claude-haiku-4-5-20251001_NAR_020,NAR_020,Narrative,academic,Claude,claude-haiku-4-5-20251001,Anthropic,212,valid
Claude_claude-haiku-4-5-20251001_NAR_021,NAR_021,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,211,valid
Claude_claude-haiku-4-5-20251001_NAR_022,NAR_022,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,203,valid
Claude_claude-haiku-4-5-20251001_NAR_023,NAR_023,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,212,valid
Claude_claude-haiku-4-5-20251001_NAR_024,NAR_024,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,220,valid
Claude_claude-haiku-4-5-20251001_NAR_025,NAR_025,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,211,valid
Claude_claude-haiku-4-5-20251001_NAR_026,NAR_026,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,199,valid
Claude_claude-haiku-4-5-20251001_NAR_027,NAR_027,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,206,valid
Claude_claude-haiku-4-5-20251001_NAR_028,NAR_028,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,219,valid
Claude_claude-haiku-4-5-20251001_NAR_029,NAR_029,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,220,valid
Claude_claude-haiku-4-5-20251001_NAR_030,NAR_030,Narrative,business,Claude,claude-haiku-4-5-20251001,Anthropic,208,valid
Claude_claude-haiku-4-5-20251001_NAR_031,NAR_031,Narrative,career,Claude,claude-haiku-4-5-20251001,Anthropic,214,valid
