feature_1,feature_2,absolute_correlation
stylo_function_word_count,stylo_flesch_reading_ease,0.6701146316870038
stylo_punctuation_count,stylo_period_count,0.6684003695966423
stylo_period_count,stylo_punctuation_per_100_words,0.6617008585061775
stylo_period_count,stylo_question_mark_count,0.6600688588967726
stylo_question_mark_count,stylo_period_per_100_words,0.6587761532866228
stylo_avg_sentence_length,stylo_sentence_length_max,0.6539121498832501
stylo_punctuation_count,stylo_question_mark_count,0.6525875534661413
stylo_question_mark_count,stylo_punctuation_per_100_words,0.6464184719322098
stylo_type_token_ratio,stylo_repeated_word_ratio,0.6462522237274616
stylo_sentence_length_min,stylo_period_per_100_words,0.6456539852727267
stylo_short_sentence_ratio,stylo_uppercase_char_ratio,0.6432103914295021
stylo_sentence_length_min,stylo_titlecase_word_count,0.6424592798439897
stylo_question_mark_count,stylo_uppercase_char_ratio,0.6337544265713204
stylo_avg_word_length,stylo_mattr_50,0.633095405419427
stylo_mattr_50,stylo_function_word_ratio,0.6275410196545496
stylo_punctuation_count,stylo_uppercase_char_ratio,0.6245165581041078
stylo_character_count,stylo_function_word_ratio,0.6164202501176071
stylo_uppercase_word_count,stylo_uppercase_char_ratio,0.6160346066956341
stylo_short_sentence_ratio,stylo_punctuation_count,0.6147639709261433
stylo_uppercase_char_ratio,stylo_punctuation_per_100_words,0.6138579360201336
stylo_short_sentence_ratio,stylo_quote_count,0.609807420592424
stylo_avg_sentence_length,stylo_question_mark_count,0.6057604749882649
stylo_character_count,stylo_mattr_50,0.6032526715000369
stylo_period_count,stylo_gunning_fog,0.6029071499027062
stylo_quote_count,stylo_uppercase_char_ratio,0.6006300028081254
stylo_short_sentence_ratio,stylo_punctuation_per_100_words,0.6002474569808002
stylo_mattr_50,stylo_function_word_count,0.598895726897403
stylo_sentence_count,stylo_gunning_fog,0.5960704409211457
stylo_short_sentence_ratio,stylo_gunning_fog,0.5958151312388353
stylo_period_per_100_words,stylo_gunning_fog,0.594649266528505
stylo_sentence_count,stylo_uppercase_char_ratio,0.5934367023605094
stylo_sentence_length_max,stylo_long_sentence_ratio,0.5895772984248321
stylo_avg_sentence_length,stylo_gunning_fog,0.5871899466345647
stylo_titlecase_word_count,stylo_gunning_fog,0.5871500505060534
stylo_period_count,stylo_uppercase_char_ratio,0.5830042310822954
stylo_uppercase_char_ratio,stylo_period_per_100_words,0.5784111235679089
stylo_yules_k,stylo_function_word_ratio,0.5760160483774599
stylo_simpson_diversity,stylo_function_word_ratio,0.57591725701156
stylo_function_word_ratio,stylo_gunning_fog,0.5736613613915154
stylo_sentence_count,stylo_punctuation_count,0.5617818417156203
stylo_mattr_50,stylo_flesch_reading_ease,0.5533528248830634
stylo_function_word_count,stylo_gunning_fog,0.552864242319085
stylo_type_token_ratio,stylo_honores_r,0.5516747102039621
stylo_sentence_count,stylo_sentence_length_max,0.5474259992947398
stylo_sentence_count,stylo_punctuation_per_100_words,0.5460596420184316
stylo_yules_k,stylo_function_word_count,0.5438629419052536
stylo_question_mark_count,stylo_gunning_fog,0.5438414718173835
stylo_simpson_diversity,stylo_function_word_count,0.543629880251569
stylo_sentence_length_min,stylo_question_mark_count,0.5387667468556114
stylo_uppercase_char_ratio,stylo_gunning_fog,0.533599132004432
stylo_avg_word_length,stylo_yules_k,0.5298587662599041
stylo_avg_word_length,stylo_simpson_diversity,0.5297892754459492
stylo_character_count,stylo_simpson_diversity,0.5297564083710288
stylo_character_count,stylo_yules_k,0.5295515557093671
stylo_sentence_length_min,stylo_long_sentence_ratio,0.5281116320656118
stylo_sentence_count,stylo_quote_count,0.5259605362387428
stylo_sentence_length_min,stylo_gunning_fog,0.5178740223550741
stylo_type_token_ratio,stylo_function_word_count,0.5161867292660378
stylo_character_count,stylo_function_word_count,0.509836819025493
stylo_type_token_ratio,stylo_function_word_ratio,0.5072447516522394
stylo_sentence_length_min,stylo_uppercase_char_ratio,0.5026243000352855
stylo_avg_word_length,stylo_type_token_ratio,0.4987721516243079
stylo_avg_sentence_length,stylo_uppercase_char_ratio,0.4961021465316666
stylo_short_sentence_ratio,stylo_long_sentence_ratio,0.48877658463797125
stylo_sentence_length_max,stylo_period_per_100_words,0.47823464966570584
stylo_type_token_ratio,stylo_yules_k,0.4746535149863093
stylo_type_token_ratio,stylo_simpson_diversity,0.47454631102892747
stylo_avg_sentence_length,stylo_punctuation_per_100_words,0.4735794361997135
stylo_avg_sentence_length,stylo_punctuation_count,0.4715038706031094
stylo_type_token_ratio,stylo_flesch_reading_ease,0.4713239879498113
stylo_titlecase_word_count,stylo_flesch_reading_ease,0.4704059663116174
stylo_sentence_length_min,stylo_punctuation_count,0.46859002034827174
stylo_sentence_length_min,stylo_quote_count,0.46492364247221474
stylo_uppercase_char_ratio,stylo_flesch_reading_ease,0.4606804215877288
stylo_yules_k,stylo_flesch_reading_ease,0.4565018515670532
stylo_simpson_diversity,stylo_flesch_reading_ease,0.45645412914625977
stylo_quote_count,stylo_gunning_fog,0.45541987232725684
stylo_sentence_length_max,stylo_period_count,0.4550591152823598
stylo_short_sentence_ratio,stylo_flesch_reading_ease,0.45142768825995555
stylo_long_sentence_ratio,stylo_titlecase_word_count,0.4489742848708342
stylo_question_mark_count,stylo_flesch_reading_ease,0.4403408897491164
stylo_mattr_50,stylo_gunning_fog,0.4393931649038787
stylo_type_token_ratio,stylo_gunning_fog,0.43870152952496544
stylo_avg_sentence_length,stylo_quote_count,0.4379980684781066
stylo_period_count,stylo_flesch_reading_ease,0.43476660162047076
stylo_sentence_length_min,stylo_punctuation_per_100_words,0.4341789834089293
stylo_sentence_count,stylo_repeated_word_ratio,0.43411063620799484
stylo_sentence_length_min,stylo_sentence_length_range,0.43353421796165836
stylo_long_sentence_ratio,stylo_gunning_fog,0.4289866061716419
stylo_question_mark_count,stylo_exclamation_count,0.42581825805997087
stylo_period_per_100_words,stylo_flesch_reading_ease,0.4249033326118941
stylo_question_mark_count,stylo_repeated_word_ratio,0.42455071853839055
stylo_exclamation_count,stylo_titlecase_word_count,0.42204226288286484
stylo_avg_word_length,stylo_uppercase_char_ratio,0.41957925859401024
stylo_short_sentence_ratio,stylo_repeated_word_ratio,0.4193431721882463
stylo_sentence_count,stylo_exclamation_count,0.41162346262749716
stylo_uppercase_char_ratio,stylo_repeated_word_ratio,0.4115592470023088
stylo_avg_sentence_length,stylo_honores_r,0.41037105275532915
stylo_avg_sentence_length,stylo_repeated_word_ratio,0.40900456687419157
stylo_sentence_count,stylo_flesch_reading_ease,0.4050686853402461
stylo_titlecase_word_count,stylo_repeated_word_ratio,0.40445133587227455
stylo_sentence_count,stylo_honores_r,0.40318122885960267
stylo_punctuation_count,stylo_gunning_fog,0.4023031488530385
stylo_period_count,stylo_repeated_word_ratio,0.4003982989200416
stylo_hapax_legomena_ratio,stylo_mattr_50,0.40034579520396113
stylo_quote_count,stylo_flesch_reading_ease,0.39670578277650126
stylo_short_sentence_ratio,stylo_exclamation_count,0.3950922882850155
stylo_punctuation_per_100_words,stylo_gunning_fog,0.394510745867563
stylo_period_count,stylo_honores_r,0.39382849734573483
stylo_character_count,stylo_type_token_ratio,0.39065936499172965
stylo_repeated_word_ratio,stylo_period_per_100_words,0.38763190403975306
stylo_exclamation_count,stylo_uppercase_char_ratio,0.38701547920257445
stylo_avg_word_length,stylo_titlecase_word_count,0.38376726809004763
stylo_short_sentence_ratio,stylo_honores_r,0.3831679635632427
stylo_honores_r,stylo_period_per_100_words,0.3826293613483909
stylo_hapax_legomena_ratio,stylo_gunning_fog,0.38102372101667653
stylo_ai_marker_ratio,stylo_gunning_fog,0.38041824872905294
stylo_uppercase_char_ratio,stylo_hapax_legomena_ratio,0.3798602389454144
stylo_ai_marker_count,stylo_gunning_fog,0.37943106713761265
stylo_sentence_length_min,stylo_honores_r,0.378318987547002
stylo_word_count,stylo_function_word_count,0.37766162409038373
stylo_sentence_length_min,stylo_flesch_reading_ease,0.37737441222810486
stylo_avg_sentence_length,stylo_flesch_reading_ease,0.3722289805219627
stylo_long_sentence_ratio,stylo_question_mark_count,0.3706170857609009
stylo_avg_word_length,stylo_question_mark_count,0.36875856322501466
stylo_question_mark_count,stylo_honores_r,0.3681598016815494
stylo_question_mark_count,stylo_hapax_legomena_ratio,0.36420893259104503
stylo_sentence_length_min,stylo_repeated_word_ratio,0.36296059506830414
stylo_hapax_legomena_ratio,stylo_flesch_reading_ease,0.3555113319378137
stylo_word_count,stylo_character_count,0.3547683515847092
stylo_ai_marker_ratio,stylo_flesch_reading_ease,0.35305465009324755
stylo_ai_marker_count,stylo_flesch_reading_ease,0.3524532312896048
stylo_avg_word_length,stylo_quote_count,0.35188421075179016
stylo_sentence_count,stylo_hapax_legomena_ratio,0.3504157307568347
stylo_titlecase_word_count,stylo_hapax_legomena_ratio,0.34648916159664217
stylo_word_count,stylo_sentence_length_range,0.34324219320241506
stylo_avg_word_length,stylo_hapax_legomena_ratio,0.34284676220288507
stylo_short_sentence_ratio,stylo_hapax_legomena_ratio,0.3406109666143286
stylo_sentence_length_max,stylo_comma_count,0.33916020701988747
stylo_titlecase_word_count,stylo_honores_r,0.3373302039707046
stylo_sentence_length_std,stylo_long_sentence_ratio,0.3357873930470486
stylo_honores_r,stylo_comma_per_100_words,0.33434802095823607
stylo_avg_word_length,stylo_short_sentence_ratio,0.32947677693711436
stylo_colon_count,stylo_titlecase_word_count,0.326382777840996
stylo_yules_k,stylo_gunning_fog,0.3255514615129053
stylo_simpson_diversity,stylo_gunning_fog,0.32551777915481955
stylo_punctuation_count,stylo_flesch_reading_ease,0.3234579410390874
stylo_word_count,stylo_sentence_length_std,0.3234474252560157
stylo_repeated_word_ratio,stylo_comma_per_100_words,0.322833501789278
stylo_long_sentence_ratio,stylo_honores_r,0.3210943351879639
stylo_avg_sentence_length,stylo_hapax_legomena_ratio,0.3205289109287569
stylo_character_count,stylo_uppercase_char_ratio,0.31903220152124834
stylo_hapax_legomena_ratio,stylo_function_word_count,0.3188844661866965
stylo_sentence_count,stylo_colon_count,0.3179075851445027
stylo_uppercase_char_ratio,stylo_honores_r,0.31653394909676924
stylo_period_count,stylo_hapax_legomena_ratio,0.3154656874494513
stylo_avg_word_length,stylo_transition_marker_ratio,0.31368115362977933
stylo_short_sentence_ratio,stylo_colon_count,0.31355848107898077
stylo_comma_count,stylo_honores_r,0.31314622521393304
stylo_punctuation_per_100_words,stylo_flesch_reading_ease,0.31299348422863005
stylo_sentence_length_std,stylo_sentence_length_min,0.31148704029121976
stylo_avg_word_length,stylo_transition_marker_count,0.308775515838628
stylo_avg_sentence_length,stylo_comma_count,0.3086848508135348
stylo_avg_sentence_length,stylo_comma_per_100_words,0.3085286712585076
stylo_sentence_length_max,stylo_comma_per_100_words,0.3078349967954727
stylo_avg_sentence_length,stylo_exclamation_count,0.30624880019562023
stylo_colon_count,stylo_uppercase_char_ratio,0.3041194639735811
stylo_hapax_legomena_ratio,stylo_function_word_ratio,0.3032952937298654
stylo_avg_word_length,stylo_ai_marker_ratio,0.30268791538430734
stylo_sentence_count,stylo_comma_per_100_words,0.302190100411899
stylo_uppercase_char_ratio,stylo_type_token_ratio,0.3018757800014922
stylo_long_sentence_ratio,stylo_repeated_word_ratio,0.30164947234777295
stylo_avg_word_length,stylo_ai_marker_count,0.3010844314920053
stylo_comma_count,stylo_repeated_word_ratio,0.3009144560260612
stylo_exclamation_count,stylo_repeated_word_ratio,0.30009791194330854
stylo_character_count,stylo_transition_marker_count,0.29928695142584033
stylo_quote_count,stylo_repeated_word_ratio,0.2988051665177231
stylo_long_sentence_ratio,stylo_uppercase_char_ratio,0.29799671401444766
stylo_long_sentence_ratio,stylo_punctuation_per_100_words,0.2968274053946238
stylo_exclamation_count,stylo_colon_count,0.2957484624812048
stylo_sentence_length_min,stylo_hapax_legomena_ratio,0.29553173945726385
stylo_sentence_length_max,stylo_short_sentence_ratio,0.2948367274997492
stylo_hapax_legomena_ratio,stylo_period_per_100_words,0.29478278465792873
stylo_short_sentence_ratio,stylo_ai_marker_ratio,0.2922183926973911
stylo_short_sentence_ratio,stylo_ai_marker_count,0.28658593886468486
stylo_sentence_length_std,stylo_comma_count,0.28272797035768477
stylo_long_sentence_ratio,stylo_comma_count,0.282251615984211
stylo_long_sentence_ratio,stylo_punctuation_count,0.28209929310646403
stylo_exclamation_count,stylo_hapax_legomena_ratio,0.2820260051780111
stylo_avg_word_length,stylo_punctuation_count,0.28054444887844693
stylo_transition_marker_ratio,stylo_flesch_reading_ease,0.280125163410702
stylo_transition_marker_count,stylo_flesch_reading_ease,0.2780115314046927
stylo_sentence_count,stylo_comma_count,0.277667921387858
stylo_exclamation_count,stylo_gunning_fog,0.276917915456627
stylo_simpson_diversity,stylo_hedging_marker_ratio,0.2769153016264881
stylo_yules_k,stylo_hedging_marker_ratio,0.276910214174782
stylo_character_count,stylo_transition_marker_ratio,0.27636824251628067
stylo_simpson_diversity,stylo_hedging_marker_count,0.2759264678786658
stylo_yules_k,stylo_hedging_marker_count,0.2758997510156084
stylo_character_count,stylo_question_mark_count,0.27307776196177375
stylo_question_mark_count,stylo_colon_count,0.27224136550802347
stylo_sentence_length_min,stylo_ai_marker_ratio,0.2718086003830535
stylo_transition_marker_ratio,stylo_hedging_marker_ratio,0.26800815182125637
stylo_simpson_diversity,stylo_honores_r,0.26763244013627135
stylo_yules_k,stylo_honores_r,0.26757341274478685
stylo_avg_word_length,stylo_period_count,0.2662647947069221
stylo_honores_r,stylo_hedging_marker_count,0.2662645177189618
stylo_sentence_count,stylo_ai_marker_ratio,0.2661063178898556
stylo_honores_r,stylo_hedging_marker_ratio,0.2659493979070846
stylo_avg_word_length,stylo_punctuation_per_100_words,0.2653447759079922
stylo_period_count,stylo_ai_marker_ratio,0.26363412686273496
stylo_transition_marker_count,stylo_hedging_marker_ratio,0.2635472789490484
stylo_avg_word_length,stylo_sentence_length_min,0.2621408023529572
stylo_transition_marker_ratio,stylo_hedging_marker_count,0.26202164341607637
stylo_quote_count,stylo_honores_r,0.26191385393074246
stylo_long_sentence_ratio,stylo_comma_per_100_words,0.2617637476125908
stylo_transition_marker_count,stylo_hedging_marker_count,0.26076009807497436
stylo_sentence_length_min,stylo_ai_marker_count,0.26066386271634384
stylo_sentence_count,stylo_ai_marker_count,0.2598818378521236
stylo_period_count,stylo_ai_marker_count,0.2588102256993927
stylo_avg_sentence_length,stylo_sentence_length_std,0.2586274957292416
stylo_sentence_length_max,stylo_gunning_fog,0.25785157162958494
stylo_sentence_length_max,stylo_question_mark_count,0.2577656693855843
stylo_character_count,stylo_ai_marker_count,0.25753968578604175
stylo_ai_marker_ratio,stylo_period_per_100_words,0.25684843298043053
stylo_ai_marker_count,stylo_period_per_100_words,0.2559458805363964
stylo_exclamation_count,stylo_quote_count,0.255102152763863
stylo_avg_sentence_length,stylo_ai_marker_ratio,0.2550385355514666
stylo_long_sentence_ratio,stylo_dash_count,0.25434925717775214
stylo_avg_word_length,stylo_period_per_100_words,0.25402277271402396
stylo_avg_sentence_length,stylo_ai_marker_count,0.2528903141143732
stylo_mattr_50,stylo_hedging_marker_ratio,0.25253922694026354
stylo_transition_marker_ratio,stylo_gunning_fog,0.25219586940697747
stylo_avg_sentence_length,stylo_dash_count,0.25174177715080187
stylo_mattr_50,stylo_hedging_marker_count,0.25154634793508823
stylo_transition_marker_count,stylo_gunning_fog,0.25142659771851694
stylo_hapax_legomena_ratio,stylo_comma_per_100_words,0.2508938424373685
stylo_long_sentence_ratio,stylo_quote_count,0.250218048162544
stylo_question_mark_count,stylo_type_token_ratio,0.24998655596402003
stylo_sentence_length_min,stylo_exclamation_count,0.24887260591652074
stylo_avg_word_length,stylo_sentence_length_range,0.24821938911877137
stylo_word_count,stylo_sentence_length_min,0.2471816102803985
stylo_punctuation_count,stylo_repeated_word_ratio,0.24569746438725962
stylo_comma_count,stylo_period_per_100_words,0.2456179627319598
stylo_question_mark_count,stylo_ai_marker_ratio,0.24371579964815754
stylo_titlecase_word_count,stylo_ai_marker_ratio,0.24309327904820985
stylo_character_count,stylo_ai_marker_ratio,0.24305149381211996
stylo_question_mark_count,stylo_ai_marker_count,0.24156504787785588
stylo_sentence_length_max,stylo_titlecase_word_count,0.24111052242163966
stylo_titlecase_word_count,stylo_type_token_ratio,0.2408180330276703
stylo_repeated_word_ratio,stylo_gunning_fog,0.2403674517815404
stylo_punctuation_count,stylo_comma_count,0.23985985961290926
stylo_character_count,stylo_hapax_legomena_ratio,0.23955880393622192
stylo_period_count,stylo_comma_per_100_words,0.23821932178951877
stylo_character_count,stylo_quote_count,0.23818401744221407
stylo_exclamation_count,stylo_flesch_reading_ease,0.23702102280327755
stylo_sentence_length_range,stylo_function_word_count,0.23690424004722185
stylo_titlecase_word_count,stylo_ai_marker_count,0.23674208430513707
stylo_long_sentence_ratio,stylo_flesch_reading_ease,0.23504570469511518
stylo_comma_per_100_words,stylo_period_per_100_words,0.2348810908366799
stylo_character_count,stylo_titlecase_word_count,0.2348799114507808
stylo_sentence_length_min,stylo_sentence_length_max,0.23447738912909225
stylo_punctuation_count,stylo_comma_per_100_words,0.2337784240664508
stylo_sentence_length_range,stylo_comma_count,0.2331239432227226
stylo_repeated_word_ratio,stylo_punctuation_per_100_words,0.2321120088823379
stylo_exclamation_count,stylo_type_token_ratio,0.23157683700788434
stylo_avg_word_length,stylo_hedging_marker_ratio,0.2310774402085116
stylo_yules_k,stylo_transition_marker_ratio,0.23086462874696806
stylo_simpson_diversity,stylo_transition_marker_ratio,0.23085737670680812
stylo_sentence_length_range,stylo_quote_count,0.2308298513810249
stylo_simpson_diversity,stylo_transition_marker_count,0.23036312626660044
stylo_yules_k,stylo_transition_marker_count,0.23033597164070693
stylo_repeated_word_ratio,stylo_hedging_marker_count,0.23021258391961202
stylo_character_count,stylo_hedging_marker_count,0.22987773898267566
stylo_punctuation_count,stylo_exclamation_count,0.22942303918864076
stylo_punctuation_per_100_words,stylo_comma_per_100_words,0.22939735697322744
stylo_sentence_count,stylo_avg_word_length,0.2292567532323414
stylo_repeated_word_ratio,stylo_hedging_marker_ratio,0.22860223116325049
stylo_sentence_length_range,stylo_short_sentence_ratio,0.2272254062712178
stylo_avg_word_length,stylo_hedging_marker_count,0.22691869264763073
stylo_exclamation_count,stylo_punctuation_per_100_words,0.22611340837463192
stylo_sentence_length_std,stylo_comma_per_100_words,0.22565494844066952
stylo_avg_word_length,stylo_sentence_length_std,0.22486747739197827
stylo_comma_count,stylo_period_count,0.224849916921491
stylo_long_sentence_ratio,stylo_hapax_legomena_ratio,0.22448207443756704
stylo_mattr_50,stylo_transition_marker_ratio,0.2244179453152259
stylo_quote_count,stylo_hapax_legomena_ratio,0.22371810078972607
stylo_mattr_50,stylo_transition_marker_count,0.22362138935134238
stylo_sentence_length_std,stylo_function_word_count,0.220517406869279
stylo_character_count,stylo_punctuation_per_100_words,0.21823450980845938
stylo_comma_count,stylo_hapax_legomena_ratio,0.21818613558129438
stylo_avg_sentence_length,stylo_yules_k,0.21550145343593283
stylo_avg_sentence_length,stylo_simpson_diversity,0.2154774860642011
stylo_sentence_length_range,stylo_uppercase_char_ratio,0.21523843030825673
stylo_sentence_count,stylo_type_token_ratio,0.21520268919397817
stylo_exclamation_count,stylo_honores_r,0.2148192192733015
stylo_character_count,stylo_hedging_marker_ratio,0.2147744438666785
stylo_short_sentence_ratio,stylo_type_token_ratio,0.21304804750107134
stylo_repeated_word_ratio,stylo_simpson_diversity,0.21244583170523376
stylo_repeated_word_ratio,stylo_yules_k,0.21238744703047532
stylo_sentence_length_max,stylo_dash_count,0.21076370456979793
stylo_short_sentence_ratio,stylo_comma_per_100_words,0.21033982689798628
stylo_comma_count,stylo_punctuation_per_100_words,0.20962453371446169
stylo_sentence_count,stylo_simpson_diversity,0.20937233837324146
stylo_sentence_count,stylo_yules_k,0.20931332478645218
stylo_sentence_length_max,stylo_honores_r,0.20889816547369724
stylo_character_count,stylo_period_per_100_words,0.207196912177719
stylo_colon_count,stylo_repeated_word_ratio,0.20660208590713036
stylo_dash_count,stylo_gunning_fog,0.20633551157132715
stylo_semicolon_count,stylo_function_word_count,0.20534938001876601
stylo_avg_word_length,stylo_exclamation_count,0.20454006477736902
stylo_sentence_length_std,stylo_quote_count,0.2043515966120661
stylo_sentence_length_range,stylo_long_sentence_ratio,0.2027836753589774
stylo_uppercase_char_ratio,stylo_ai_marker_ratio,0.20175734914925678
stylo_exclamation_count,stylo_period_per_100_words,0.20149230701155965
stylo_period_count,stylo_exclamation_count,0.20141546371720306
stylo_sentence_length_range,stylo_punctuation_count,0.20124640842237246
stylo_honores_r,stylo_transition_marker_count,0.20101954855397225
stylo_honores_r,stylo_transition_marker_ratio,0.2003667027461142
stylo_character_count,stylo_short_sentence_ratio,0.20009672582840643
stylo_sentence_length_min,stylo_simpson_diversity,0.1998625840862871
stylo_sentence_length_min,stylo_yules_k,0.19971738190797583
stylo_punctuation_count,stylo_honores_r,0.1988873818025127
stylo_sentence_count,stylo_dash_count,0.19865587312590702
stylo_uppercase_char_ratio,stylo_ai_marker_count,0.19850719986044152
stylo_word_count,stylo_sentence_length_max,0.19671856751984113
stylo_period_count,stylo_simpson_diversity,0.19670828086092282
stylo_period_count,stylo_yules_k,0.19667487378385043
stylo_yules_k,stylo_period_per_100_words,0.19631690352641065
stylo_simpson_diversity,stylo_period_per_100_words,0.1962694071960116
stylo_colon_count,stylo_hapax_legomena_ratio,0.19616873568842616
stylo_avg_sentence_length,stylo_colon_count,0.1957574470722674
stylo_hedging_marker_ratio,stylo_flesch_reading_ease,0.19492087793775636
stylo_sentence_length_range,stylo_titlecase_word_count,0.19466574645172732
stylo_quote_count,stylo_ai_marker_ratio,0.19424947418497204
stylo_hedging_marker_count,stylo_flesch_reading_ease,0.19275559449549057
stylo_honores_r,stylo_gunning_fog,0.19258065856137105
stylo_quote_count,stylo_ai_marker_count,0.19138074345195055
stylo_function_word_ratio,stylo_transition_marker_ratio,0.1912773577840894
stylo_long_sentence_ratio,stylo_yules_k,0.18931223076758494
stylo_long_sentence_ratio,stylo_simpson_diversity,0.1892316857456022
stylo_short_sentence_ratio,stylo_simpson_diversity,0.18811545587827666
stylo_short_sentence_ratio,stylo_yules_k,0.18805907071555875
stylo_function_word_count,stylo_transition_marker_ratio,0.18799657451002372
stylo_comma_count,stylo_function_word_count,0.18791774112904588
stylo_honores_r,stylo_punctuation_per_100_words,0.18674673950638823
stylo_function_word_ratio,stylo_transition_marker_count,0.18554639009569454
stylo_sentence_length_max,stylo_repeated_word_ratio,0.1855061208468926
stylo_short_sentence_ratio,stylo_comma_count,0.1855055382671462
stylo_repeated_word_ratio,stylo_ai_marker_ratio,0.18547985392531743
stylo_long_sentence_ratio,stylo_ai_marker_count,0.1851828901636322
stylo_honores_r,stylo_ai_marker_ratio,0.18499859214760336
stylo_titlecase_word_count,stylo_transition_marker_ratio,0.1840835013274578
stylo_long_sentence_ratio,stylo_ai_marker_ratio,0.18401097411484688
stylo_avg_sentence_length,stylo_type_token_ratio,0.18322527594152563
stylo_punctuation_count,stylo_hapax_legomena_ratio,0.18146757618332662
stylo_repeated_word_ratio,stylo_ai_marker_count,0.18104330777909114
stylo_honores_r,stylo_ai_marker_count,0.18090613500239172
stylo_dash_count,stylo_period_per_100_words,0.1803470427257229
stylo_semicolon_count,stylo_function_word_ratio,0.1795229566435176
stylo_sentence_length_min,stylo_type_token_ratio,0.17945564243247972
stylo_period_count,stylo_type_token_ratio,0.17930333546913005
stylo_titlecase_word_count,stylo_transition_marker_count,0.1776407094692997
stylo_repeated_word_ratio,stylo_transition_marker_count,0.17727468393592835
stylo_colon_count,stylo_type_token_ratio,0.17653435088923064
